caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
12577,44.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Excellent,No,Two children
12578,80,8,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
12579,43.2,6,"Owned by you or a member of this household, even if it i...",Other,1,Fair,Fair,No,No child
12580,47.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
12581,54,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12582,34,8,"Rented, even if no cash rent is paid",Single detached house,2,Excellent,Very good,Yes,No child
12583,67.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12584,66.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12585,59.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Very good,No,No child
12586,41.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
12587,38.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12588,32.6,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Excellent,No,No child
12589,55.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12590,56.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Excellent,No,No child
12591,28.8,7,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Good,No,No child
12592,55.4,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Excellent,No,No child
12593,30.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,One child
12594,59.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,Two children
12595,60.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12596,66.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
12597,36.5,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,Yes,No child
12598,75.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
12599,27.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
12600,60.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
12601,38.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
12602,80,1,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Poor,No,No child
12603,71.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,Yes,No child
12604,69.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
12605,80,10,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
12606,72.2,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12607,29.8,10,"Rented, even if no cash rent is paid",Other,1,Excellent,Excellent,No,No child
12608,17.3,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Excellent,No,One child
12609,63.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12610,50.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12611,57,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Good,No,No child
12612,45.8,4,"Owned by you or a member of this household, even if it i...",Other,3,Fair,Good,No,No child
12613,67,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12614,70.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12615,63.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12616,71.4,10,"Rented, even if no cash rent is paid",Other,1,Excellent,Excellent,No,No child
12617,46.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
12618,64,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12619,64.6,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Very good,Good,Yes,Two children
12620,73.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Excellent,No,No child
12621,30.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
12622,80,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
12623,38.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
12624,38.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,Yes,Three or more children
12625,59.4,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
12626,39.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,Two children
12627,57,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12628,63.8,8,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Good,No,No child
12629,51.6,10,"Rented, even if no cash rent is paid",Other,1,Good,Very good,No,No child
12630,80,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Very good,No,No child
12631,19.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Fair,No,No child
12632,78.8,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Good,No,No child
12633,75.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12634,44.8,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Fair,No,No child
12635,80,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Excellent,Fair,No,No child
12636,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12637,76.7,10,"Rented, even if no cash rent is paid",Other,1,Very good,Excellent,No,No child
12638,40.8,8,"Rented, even if no cash rent is paid",Single detached house,5,Good,Very good,No,One child
12639,19.9,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
12640,68.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Poor,Good,No,No child
12641,42.3,7,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,No child
12642,73.3,8,"Owned by you or a member of this household, even if it i...",Other,1,Good,Good,No,No child
12643,25.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,Yes,No child
12644,59.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
12645,70.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12646,57,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12647,30.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12648,16.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Good,No,One child
12649,61.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
12650,60.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12651,71.4,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
12652,79.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
12653,56.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
12654,76.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
12655,80,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Good,Excellent,No,No child
12656,54,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,No child
12657,70.8,NA,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Fair,No,No child
12658,54.3,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Good,Good,No,No child
12659,69.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12660,64.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,Yes,No child
12661,38.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Very good,No,Three or more children
12662,51,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
12663,26.3,5,"Rented, even if no cash rent is paid",Single detached house,2,Very good,Good,No,One child
12664,55.5,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Very good,No,No child
12665,65.7,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
12666,18,6,"Owned by you or a member of this household, even if it i...",Single detached house,6,Excellent,Fair,No,Three or more children
12667,64.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12668,60.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Fair,No,No child
12669,26.2,5,"Rented, even if no cash rent is paid",Single detached house,1,Good,Fair,No,No child
12670,55.2,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12671,73.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12672,43.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,Two children
12673,33.1,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
12674,15.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,One child
12675,28.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Very good,Very good,No,No child
12676,66.5,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Very good,Very good,No,No child
12677,26.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12678,35.3,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Excellent,Excellent,No,One child
12679,46.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
12680,29.9,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
12681,39,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12682,30.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
12683,18.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,No child
12684,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12685,61,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
12686,42.3,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12687,48.8,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,One child
12688,53.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
12689,21.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,One child
12690,27.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
12691,68.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12692,30,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Excellent,No,No child
12693,36.4,10,"Owned by you or a member of this household, even if it i...",Other,4,Excellent,Fair,No,Two children
12694,36.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Good,No,Two children
12695,70.7,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
12696,32.3,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Good,Good,No,No child
12697,49.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Excellent,No,Two children
12698,51.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12699,75.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
12700,32.9,7,"Rented, even if no cash rent is paid",Single detached house,1,Good,Very good,No,No child
12701,45.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Good,No,Two children
12702,18.1,10,"Rented, even if no cash rent is paid",Other,4,Good,Very good,No,No child
12703,54.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
12704,55,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
12705,64.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Excellent,No,No child
12706,44.6,8,"Rented, even if no cash rent is paid",Other,3,Very good,Very good,Yes,One child
12707,66.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12708,62.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12709,52.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,"NA",No,No child
12710,37.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Good,No,Three or more children
12711,36,8,"Owned by you or a member of this household, even if it i...",Other,5,Excellent,Very good,No,Three or more children
12712,31.1,6,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
12713,45,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
12714,58.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12715,39.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
12716,32.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
12717,78,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12718,34.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12719,67.6,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
12720,41.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Three or more children
12721,66.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
12722,30.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Very good,Very good,Yes,One child
12723,63.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
12724,70.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,No child
12725,42.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
12726,29.2,10,"Owned by you or a member of this household, even if it i...",Other,6,Very good,Excellent,No,Three or more children
12727,67.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12728,45.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
12729,71.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
12730,65.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
12731,78.6,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12732,60.7,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12733,33.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,Yes,Two children
12734,61,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12735,62.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
12736,26.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Poor,Good,No,No child
12737,45.1,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,Yes,No child
12738,62.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
12739,73.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12740,58.8,4,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Fair,No,No child
12741,61.6,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Good,No,No child
12742,67.9,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12743,45.3,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
12744,75.3,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
12745,52.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Poor,No,No child
12746,47.8,8,"Rented, even if no cash rent is paid",Other,4,Very good,Very good,Yes,Two children
12747,73.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
12748,67.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
12749,69.7,7,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
12750,16.6,9,"Rented, even if no cash rent is paid",Other,3,Excellent,Good,No,No child
12751,39.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
12752,29.3,9,"Owned by you or a member of this household, even if it i...",Other,4,Good,Very good,Yes,Two children
12753,28.5,9,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
12754,54.4,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Very good,No,No child
12755,52.7,10,"Owned by you or a member of this household, even if it i...","NA",2,Excellent,Excellent,Yes,No child
12756,74.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12757,66.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12758,42.6,7,"Owned by you or a member of this household, even if it i...",Other,4,Very good,Very good,No,Two children
12759,51.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12760,55.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
12761,32.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,One child
12762,63.3,10,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Very good,No,No child
12763,66.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Excellent,No,No child
12764,60,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12765,36.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,Two children
12766,31,9,"Owned by you or a member of this household, even if it i...",Other,4,Excellent,Excellent,Yes,Two children
12767,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Very good,No,No child
12768,80,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Good,No,No child
12769,45.1,10,"Rented, even if no cash rent is paid",Other,5,Excellent,Excellent,No,Three or more children
12770,59.9,8,"Rented, even if no cash rent is paid",Other,2,Very good,Very good,Yes,No child
12771,80,8,"Owned by you or a member of this household, even if it i...",Other,1,Fair,Excellent,No,No child
12772,60.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12773,43.5,NA,"NA","NA",5,"NA","NA",No,One child
12774,64.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
12775,57.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12776,29,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
12777,44.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Excellent,No,One child
12778,16.8,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Poor,No,No child
12779,56.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,No child
12780,55.3,7,"Rented, even if no cash rent is paid",Other,2,Fair,Very good,No,No child
12781,66.6,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Poor,Very good,No,No child
12782,46.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
12783,34.1,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),4,Good,Very good,No,Two children
12784,54,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12785,56.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12786,26.7,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
12787,45.6,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
12788,67.3,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
12789,80,10,"Owned by you or a member of this household, even if it i...",Other,2,Fair,Fair,No,No child
12790,28.2,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Excellent,No,No child
12791,67.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
12792,32.3,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),3,Good,Very good,No,One child
12793,39.1,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),5,Very good,Very good,Yes,Three or more children
12794,75.8,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Very good,No,No child
12795,52.2,8,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Excellent,Good,No,No child
12796,34.9,6,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Fair,No,No child
12797,39.7,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Fair,No,No child
12798,65.9,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,No,No child
12799,45.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,Yes,No child
12800,39.8,9,"Rented, even if no cash rent is paid",Other,3,Very good,Good,No,No child
12801,80,8,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
12802,31.4,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
12803,51.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Fair,No,No child
12804,52.6,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Very good,Very good,Yes,No child
12805,70.9,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Good,Very good,No,No child
12806,42.5,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Very good,Very good,No,One child
12807,45.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,Yes,One child
12808,47.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
12809,69.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12810,22.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12811,21.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
12812,60.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12813,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,Yes,No child
12814,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12815,70.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
12816,17.5,10,"Owned by you or a member of this household, even if it i...",Other,3,Excellent,Good,No,No child
12817,62.3,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Excellent,No,No child
12818,45.2,5,"Owned by you or a member of this household, even if it i...",Other,4,Fair,Good,No,No child
12819,52.8,4,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Fair,No,No child
12820,22.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
12821,51.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,Yes,No child
12822,35.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
12823,60,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
12824,38.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Two children
12825,29.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,One child
12826,59.3,10,"Rented, even if no cash rent is paid",Single detached house,2,Fair,Good,No,No child
12827,48.8,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,Yes,No child
12828,68.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12829,44.8,7,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
12830,75.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12831,65.5,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
12832,54.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12833,34.3,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Good,No,No child
12834,32.9,5,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
12835,45.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
12836,68.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Fair,No,No child
12837,21.5,4,"Owned by you or a member of this household, even if it i...",Other,5,Good,Fair,No,No child
12838,56.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
12839,40.7,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Fair,No,No child
12840,30,9,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Good,No,No child
12841,49.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,6,Excellent,Excellent,No,Three or more children
12842,62.2,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Good,No,No child
12843,55.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
12844,80,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
12845,39.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
12846,71.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
12847,76.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
12848,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
12849,55.7,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Fair,No,No child
12850,60.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
12851,34.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,Yes,No child
12852,69.5,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
12853,77.2,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Fair,Very good,No,No child
12854,40.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
12855,45.1,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
12856,51.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
